year_film,year_ceremony,film,budget,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience
2012,2013,Argo,44500000.00,19458109.00,136025503.00,232325503.00,7.7,86,96,90
2012,2013,Asad,,,,,7,,,56
2012,2013,Beasts of the Southern Wild,1800000.00,169702.00,12795746.00,21107746.00,7.3,86,86,76
2012,2013,Brave,185000000.00,66323594.00,237283207.00,538983207.00,7.1,69,78,75
2012,2013,Buzkashi Boys,,,,,6.6,,,65
2012,2013,Chasing Ice,,,1328467.00,1358668.00,7.8,75,96,85
2012,2013,Curfew,50000.00,,,,7.9,,,90
2012,2013,Death of a Shadow (Dood van een Schaduw),,,,,7.2,,,94
2012,2013,Django Unchained,100000000.00,30122888.00,162805434.00,426074373.00,8.4,81,87,91
2012,2013,Flight,31000000.00,24900566.00,93772375.00,161772375.00,7.3,76,77,75
2012,2013,Frankenweenie,39000000.00,11412213.00,35291068.00,81493846.00,6.9,74,87,70
2012,2013,Fresh Guacamole,,,,,7.4,,,78
2012,2013,Head over Heels,9730.00,,,,7.5,,,
2012,2013,Henry,,,,,7.4,,,
2012,2013,Hitchcock,15700000.00,287715.00,6008677.00,27039669.00,6.8,55,60,60
2012,2013,How to Survive a Plague,,28250.00,132055.00,132055.00,7.6,86,98,82
2012,2013,Inocente,,371605.00,2142342.00,,7.4,,,89
2012,2013,Kings Point,,,,,6.7,,,80
2012,2013,Kon-Tiki,16600000.00,22168.00,1517410.00,22842887.00,7.2,62,81,77
2012,2013,Les Miserables,61000000.00,27281735.00,148809770.00,441809770.00,7.6,63,70,79
2012,2013,Life of Pi,120000000.00,22451514.00,124987023.00,609016565.00,7.9,79,86,84
2012,2013,Lincoln,65000000.00,944308.00,182207973.00,275283450.00,7.3,86,89,81
2012,2013,"Maggie Simpson in ""The Longest Daycare""",,,,,7.3,,,84
2012,2013,Marvel's The Avengers,220000000.00,207438708.00,623357910.00,1518815515.00,8,69,91,91
2012,2013,Mirror Mirror,85000000.00,18132085.00,64935167.00,183018522.00,5.6,46,50,44
2012,2013,Mondays at Racine,,,,,7.4,,,82
2012,2013,Moonrise Kingdom,16000000.00,522996.00,45512466.00,68264022.00,7.8,84,93,86
2012,2013,No,,71742.00,2343664.00,7699095.00,7.4,81,93,80
2012,2013,Open Heart,,14224.00,136170.00,1692272.00,7.5,77,93,90
2012,2013,Paperman,,,,,8.3,,,91
2012,2013,ParaNorman,60000000.00,14087050.00,56003051.00,107139399.00,7,72,89,72
2012,2013,Prometheus,130000000.00,51050101.00,126477084.00,403354469.00,7,64,73,68
2012,2013,Redemption,20000000.00,19977.00,36895.00,12671109.00,6.2,43,49,38
2012,2013,Searching for Sugar Man,,27459.00,3696196.00,9133712.00,8.2,79,95,92
2012,2013,Silver Linings Playbook,21000000.00,443003.00,132092958.00,236412453.00,7.7,81,92,86
2012,2013,Skyfall,200000000.00,88364714.00,304360277.00,1108561013.00,7.8,81,92,86
2012,2013,Snow White and the Huntsman,170000000.00,56217700.00,155332381.00,396592829.00,6.1,57,49,52
2012,2013,Ted,50000000.00,54415205.00,218815487.00,549368315.00,6.9,62,69,73
2012,2013,The Gatekeepers,,61552.00,2415727.00,2573616.00,7.6,91,94,79
2012,2013,The Hobbit: An Unexpected Journey,180000000.00,84617303.00,303003568.00,1017003568.00,7.8,58,64,83
2012,2013,The Impossible,45000000.00,143818.00,19019882.00,198087212.00,7.6,73,81,84
2012,2013,The Invisible War,,16500.00,71968.00,71968.00,7.6,75,99,84
2012,2013,The Master,32000000.00,736311.00,16377274.00,28258060.00,7.2,86,84,61
2012,2013,The Pirates! Band of Misfits,55000000.00,11137734.00,31051126.00,123054041.00,6.7,73,86,60
2012,2013,The Sessions,1000000.00,113467.00,6002451.00,10656155.00,7.2,79,91,80
2012,2013,War Witch,3500000.00,8714.00,70544.00,313387.00,7.1,84,94,78
2012,2013,Wreck-It Ralph,165000000.00,49038712.00,189422889.00,471222889.00,7.7,72,87,86
2012,2013,Zero Dark Thirty,40000000.00,417150.00,95720716.00,132820716.00,7.4,95,91,80
2013,2014,12 Years a Slave,20000000.00,923715.00,56671993.00,187733202.00,8.1,96,95,90
2013,2014,20 Feet from Stardom,1000000.00,54596.00,4946445.00,5839368.00,7.4,83,99,82
2013,2014,All Is Lost,9000000.00,93583.00,6263670.00,13627519.00,6.9,87,94,63
2013,2014,Alone Yet Not Alone,7000000.00,125775.00,887851.00,887851.00,4.6,,,63
2013,2014,American Hustle,40000000.00,740455.00,150117807.00,251171807.00,7.2,90,92,74
2013,2014,Aquel No Era Yo (That Wasn't Me),,,,,6.8,,,
2013,2014,August: Osage County,25000000.00,179302.00,37738810.00,74188937.00,7.2,58,67,65
2013,2014,Avant Que De Tout Perdre (Just before Losing Everything),,,,,7.8,,,87
2013,2014,Before Midnight,3000000.00,246914.00,8114627.00,20994648.00,7.9,94,98,82
2013,2014,Blue Jasmine,18000000.00,612064.00,33405481.00,99104804.00,7.3,78,90,77
2013,2014,Captain Phillips,55000000.00,25718314.00,107100855.00,218791811.00,7.8,82,93,89
2013,2014,CaveDigger,,,,,7.2,,,69
2013,2014,Cutie and the Boxer,,21098.00,200036.00,200036.00,7.2,83,95,75
2013,2014,Dallas Buyers Club,5000000.00,260865.00,27298285.00,55736588.00,8,80,93,91
2013,2014,Despicable Me 2,76000000.00,83517315.00,368065385.00,970766005.00,7.3,62,75,85
2013,2014,Dirty Wars,,63504.00,384473.00,416853.00,7.5,76,83,74
2013,2014,Ernest & Celestine,11616000.00,13078.00,262075.00,8111137.00,7.9,86,98,88
2013,2014,Facing Fear,,,,,6.9,,,80
2013,2014,Feral,,,,,6.4,,,58
2013,2014,Frozen,150000000.00,243390.00,400953009.00,1281019275.00,7.4,75,90,85
2013,2014,Get a Horse!,,,,,7.5,,,83
2013,2014,Gravity,100000000.00,55785112.00,274092705.00,723192705.00,7.7,96,95,80
2013,2014,Helium,,,,,7.3,,,80
2013,2014,Her,23000000.00,260382.00,25568251.00,48517427.00,8,90,94,82
2013,2014,Inside Llewyn Davis,11000000.00,405411.00,13235319.00,32960249.00,7.5,93,92,74
2013,2014,Iron Man 3,200000000.00,174144585.00,409013994.00,1214811252.00,7.1,62,79,78
2013,2014,Jackass Presents: Bad Grandpa,15000000.00,32055177.00,102003019.00,151826547.00,6.5,54,61,60
2013,2014,Karama Has No Walls,,,,,7.6,,,
2013,2014,Lone Survivor,40000000.00,90872.00,125095601.00,154802912.00,7.5,60,75,87
2013,2014,Mandela: Long Walk to Freedom,35000000.00,84283.00,8323085.00,27985788.00,7.1,60,62,68
2013,2014,Mr. Hublot,295000.00,,,,7.2,,,84
